,,,,,,,,Wafer #8 Bin #14,,,,,Wafer #10 Bin #14,,,,
Test Name,LL,UL,Unit,Avg,Min,Max,,T28,S28,H33,AB26,AA26,AE37,AF19,AI33,D31,W31
H2S_VCM  DiffV,2.45,2.55,V,2.495360666,2.4849286,2.502985908,,2.492514542,2.4849286,2.499391049,2.494073136,2.488595094,2.494761084,2.499359364,2.502985908,2.500847793,2.496150087
H2S_VCM SglV,2.45,2.55,V,2.498627258,2.488125814,2.506334943,,2.495720964,2.488125814,2.50267749,2.49728745,2.49178332,2.498046793,2.502684002,2.506334943,2.50416243,2.49944937
T1DAC_VCM  DiffV,2.45,2.55,V,2.497124818,2.489981699,2.505147499,,2.501684225,2.489981699,2.496820183,2.492668854,2.492359042,2.500131651,2.491192009,2.505147499,2.501206849,2.50005617
T1DAC_VCM SglV,2.45,2.55,V,2.501777656,2.494651396,2.509907927,,2.506212621,2.494651396,2.501411269,2.497293255,2.496884414,2.504870974,2.49591758,2.509907927,2.505891322,2.5047358
T2DAC_VCM  DiffV,2.45,2.55,V,2.495585279,2.486903687,2.500615655,,2.498611012,2.486903687,2.498955891,2.490792167,2.497523788,2.492026162,2.498252341,2.500615655,2.498869772,2.493302318
T2DAC_VCM SglV,2.45,2.55,V,2.499448158,2.490676425,2.504513604,,2.502400786,2.490676425,2.502764818,2.494644681,2.501300992,2.495911539,2.50225376,2.504513604,2.502803525,2.497211454
VPTAT_VREF2P5,-1,-0.6,V,-0.844736366,-0.855257801,-0.832685289,,-0.85223599,-0.832685289,-0.842308549,-0.83482649,-0.849383018,-0.849861594,-0.844850962,-0.855257801,-0.846573965,-0.839380003
VPTAT,1.1,2.3,V,1.656864719,1.648696274,1.667234352,,1.648696274,1.657944046,1.661880561,1.667234352,1.651686207,1.65214644,1.65277927,1.655516058,1.6585878,1.662176179
ADC1_VREF,2.45,2.55,V,2.504046867,2.49414827,2.510086173,,2.503985468,2.49414827,2.505374691,2.503196239,2.500138499,2.505486803,2.503572124,2.510086173,2.508410894,2.506069505
ADC2_VREF,2.45,2.55,V,2.504069579,2.494111918,2.510051455,,2.504103286,2.494111918,2.505340263,2.503241078,2.500092187,2.50552338,2.503671509,2.510051455,2.508437623,2.506123087
ADC3_VREF,2.45,2.55,V,2.504133815,2.494242782,2.51017052,,2.504172342,2.494242782,2.505407896,2.503244249,2.500162506,2.50556631,2.503716096,2.51017052,2.508509801,2.506145645
ASW 1 Off R,100,,Mohm,443.4042803,375.5586736,503.0953246,,432.3221095,503.0953246,500.0856391,480.4705278,474.3282671,411.1629256,446.8746748,414.7755578,375.5586736,395.3691031
ASW 2 Off R,100,,Mohm,9725.630239,1330.310668,34985.88904,,4514.409358,22848.36056,1401.134409,1536.006152,1330.310668,12566.16667,34985.88904,5635.889429,3551.409,8886.727103
ASW 3 Off R,100,,Mohm,798.9406425,692.4128897,1034.680532,,693.17181,782.7617428,729.7794231,747.1911501,692.4128897,883.5480011,907.6910013,730.7849974,787.3848769,1034.680532
ASW 1 On R,3,15,Ohm,6.856821911,6.740518623,7.035351308,,7.035351308,6.959681457,6.850461688,6.87339111,6.862340056,6.766174231,6.750801847,6.740518623,6.786902754,6.942596037
ASW 2 On R,3,15,Ohm,6.325528461,6.119575966,6.749634764,,6.403311174,6.749634764,6.237506892,6.386399013,6.262876243,6.177937763,6.131372691,6.119575966,6.444484647,6.342185453
ASW 3 On R,3,15,Ohm,9.226358752,8.964209678,9.569203599,,9.569203599,9.306372956,9.345298402,9.358309657,9.304357083,8.964209678,9.080355281,9.046352548,8.985385324,9.303742995
G_HTRDAC,47,53,V/V,48.278058,48.22917813,48.32633407,,48.27922159,48.32633407,48.23600902,48.2488188,48.28202856,48.32170463,48.26595219,48.27233283,48.22917813,48.3190002
G_OVTDAC,0.96,1.04,V/V,1.000087522,1.000067986,1.000120352,,1.000072786,1.000087254,1.000111003,1.00007333,1.000067986,1.000120352,1.000078609,1.000082446,1.000086428,1.000095024
G_SUPATTEN,0.48,0.52,V/V,0.497684134,0.496447079,0.498560724,,0.497586752,0.497608629,0.497870386,0.498105067,0.497559335,0.49812115,0.497263228,0.496447079,0.498560724,0.497718987
G_HTRATTEN,0.6,0.72,V/V,0.657045352,0.654644209,0.658533219,,0.65705652,0.657470247,0.657326746,0.657501691,0.654644209,0.65732519,0.65719389,0.655632077,0.658533219,0.65776973
ADC1_1X_M4V,-4.02,-3.98,V,-3.9964908,-4.012299,-3.986735,,-3.995881,-4.012299,-3.994629,-3.99723,-4.002285,-3.994518,-3.997428,-3.986735,-3.990088,-3.993815
ADC1_1X_M2V,-2.02,-1.98,V,-2.0005823,-2.008693,-1.995706,,-2.000213,-2.008693,-1.999821,-2.000696,-2.003596,-1.999775,-2.001008,-1.995706,-1.997441,-1.998874
ADC1_1X_0V,-0.02,0.02,V,-0.000199,-0.000787,0.000311,,-0.00034,-0.000593,-0.000236,0.000086,-0.000421,-0.000787,0.000072,-0.000152,0.00007,0.000311
ADC1_1X_2V,1.98,2.02,V,2.0005669,1.99573,2.007959,,1.999865,2.007959,1.999764,2.001257,2.003124,1.998595,2.001586,1.99573,1.99795,1.999839
ADC1_1X_4V,3.98,4.02,V,4.0017282,3.992276,4.016819,,4.000401,4.016819,4.000154,4.002826,4.007014,3.998367,4.003447,3.992276,3.996211,3.999767
ADC1_2X_ADC_GAIN_M4V,-4.02,-3.98,V,-3.9983191,-4.014299,-3.988216,,-3.997521,-4.014299,-3.996518,-3.999052,-4.004189,-3.99628,-3.999486,-3.988216,-3.991907,-3.995723
ADC1_2X_ADC_GAIN_M2V,-2.02,-1.98,V,-2.0019413,-2.010152,-1.996923,,-2.001425,-2.010152,-2.001206,-2.002088,-2.004951,-2.001171,-2.002436,-1.996923,-1.998765,-2.000296
ADC1_2X_ADC_GAIN_0V,-0.02,0.02,V,-0.0010814,-0.001691,-0.000667,,-0.001155,-0.001486,-0.001094,-0.000814,-0.001329,-0.001691,-0.000812,-0.000951,-0.000815,-0.000667
ADC1_2X_ADC_GAIN_2V,1.98,2.02,V,2.0001101,1.995359,2.0075,,1.999412,2.0075,1.999373,2.000812,2.002617,1.998107,2.001151,1.995359,1.997484,1.999286
ADC1_2X_ADC_GAIN_4V,3.98,4.02,V,4.001461,3.991801,4.016632,,4.000102,4.016632,4.000042,4.002618,4.006718,3.99808,4.00331,3.991801,3.995911,3.999396
ADC2_1X_M4V,-4.02,-3.98,V,-3.9983643,-4.013907,-3.988949,,-3.997729,-4.013907,-3.996855,-3.999198,-4.003896,-3.996318,-3.999718,-3.988949,-3.990997,-3.996076
ADC2_1X_M2V,-2.02,-1.98,V,-2.0013915,-2.009221,-1.996796,,-2.001038,-2.009221,-2.000938,-2.001679,-2.004084,-2.000348,-2.002189,-1.996796,-1.997573,-2.000049
ADC2_1X_0V,-0.02,0.02,V,-0.0002022,-0.000611,0.000362,,-0.000401,-0.000331,-0.000611,0.000015,-0.000168,-0.00023,-0.00031,-0.000291,0.000362,-0.000057
ADC2_1X_2V,1.98,2.02,V,2.0011552,1.996401,2.008751,,2.000402,2.008751,1.999989,2.00179,2.003865,2.000058,2.001768,1.996401,1.998487,2.000041
ADC2_1X_4V,3.98,4.02,V,4.0027316,3.993272,4.017973,,4.001362,4.017973,4.000713,4.003812,4.008136,4.000657,4.004051,3.993272,3.996832,4.000508
ADC2_2X_ADC_GAIN_M4V,-4.02,-3.98,V,-3.998995,-4.014513,-3.989473,,-3.998365,-4.014513,-3.997498,-3.999956,-4.004546,-3.996996,-4.000392,-3.989473,-3.991428,-3.996783
ADC2_2X_ADC_GAIN_M2V,-2.02,-1.98,V,-2.0021799,-2.009966,-1.9976,,-2.001832,-2.009966,-2.001748,-2.002506,-2.004861,-2.001107,-2.003033,-1.9976,-1.998247,-2.000899
ADC2_2X_ADC_GAIN_0V,-0.02,0.02,V,-0.0009929,-0.001367,-0.000335,,-0.00117,-0.00104,-0.001367,-0.000861,-0.000976,-0.000999,-0.001143,-0.001077,-0.000335,-0.000961
ADC2_2X_ADC_GAIN_2V,1.98,2.02,V,2.0004468,1.995684,2.008122,,1.999705,2.008122,1.999283,2.001073,2.003161,1.999366,2.00104,1.995684,1.997802,1.999232
ADC2_2X_ADC_GAIN_4V,3.98,4.02,V,4.0019854,3.992533,4.017382,,4.000696,4.017382,4.00006,4.003072,4.007383,3.99984,4.003298,3.992533,3.996065,3.999525
ADC3_1X_M4V,-4.02,-3.98,V,-3.9985716,-4.015207,-3.989444,,-3.997327,-4.015207,-3.996548,-3.999796,-4.005939,-3.996201,-3.999323,-3.989444,-3.990106,-3.995825
ADC3_1X_M2V,-2.02,-1.98,V,-2.0014008,-2.009604,-1.997162,,-2.000449,-2.009604,-2.00065,-2.001807,-2.005243,-2.000253,-2.001831,-1.997235,-1.997162,-1.999774
ADC3_1X_0V,-0.02,0.02,V,-0.0004199,-0.000937,-0.000037,,-0.000037,-0.000198,-0.00062,-0.00014,-0.000879,-0.000677,-0.000406,-0.000937,-0.000177,-0.000128
ADC3_1X_2V,1.98,2.02,V,2.0006961,1.995483,2.009375,,2.000485,2.009375,1.999564,2.001654,2.003598,1.99903,2.001187,1.995483,1.996954,1.999631
ADC3_1X_4V,3.98,4.02,V,4.0021424,3.9922,4.019272,,4.001257,4.019272,4.000021,4.003754,4.008469,3.999133,4.003064,3.9922,3.994562,3.999692
ADC3_2X_ADC_GAIN_M4V,-4.02,-3.98,V,-3.9990704,-4.01572,-3.990042,,-3.997726,-4.01572,-3.99715,-4.000232,-4.006284,-3.996722,-3.999908,-3.990042,-3.990506,-3.996414
ADC3_2X_ADC_GAIN_M2V,-2.02,-1.98,V,-2.0022356,-2.0104,-1.997974,,-2.00123,-2.0104,-2.001547,-2.00264,-2.006067,-2.001089,-2.002682,-1.998083,-1.997974,-2.000644
ADC3_2X_ADC_GAIN_0V,-0.02,0.02,V,-0.0012708,-0.001828,-0.000836,,-0.000836,-0.000977,-0.001465,-0.001028,-0.001761,-0.001517,-0.001279,-0.001828,-0.000989,-0.001028
ADC3_2X_ADC_GAIN_2V,1.98,2.02,V,1.9999213,1.994684,2.008682,,1.999707,2.008682,1.998834,2.000864,2.002756,1.998257,2.000369,1.994684,1.996207,1.998853
ADC3_2X_ADC_GAIN_4V,3.98,4.02,V,4.0012226,3.99129,4.018475,,4.000394,4.018475,3.999194,4.002856,4.007397,3.998187,4.002148,3.99129,3.993558,3.998727
EDAC_1_6,0.68,0.88,V,0.831362495,0.828626418,0.833007487,,0.831449809,0.832842701,0.831413527,0.830296685,0.828626418,0.832338601,0.830046889,0.831639177,0.831963657,0.833007487
EDAC_2_6,1.53,1.73,V,1.660459029,1.655116562,1.663338251,,1.659972248,1.658807131,1.660937783,1.660554193,1.655116562,1.662546883,1.658490589,1.663338251,1.662279818,1.662546827
EDAC_3_6,2.38,2.58,V,2.489582232,2.481655893,2.495047119,,2.488589068,2.484780391,2.490489728,2.490828131,2.481655893,2.492822763,2.486919067,2.495047119,2.492557653,2.492132511
EDAC_4_6,3.25,3.45,V,3.31883575,3.30830431,3.326835037,,3.317296486,3.310859167,3.320237305,3.321229612,3.30830431,3.323214038,3.315528903,3.326835037,3.323055392,3.32179725
EDAC_5_6,4.1,4.3,V,4.148287857,4.135205979,4.158829612,,4.146243595,4.137133496,4.150133037,4.151805828,4.135205979,4.153764973,4.144369002,4.158829612,4.153726025,4.151667025
OVTDAC_1_6,0.48,0.68,V,0.581549772,0.579343582,0.582717765,,0.582099939,0.579343582,0.581842781,0.581272298,0.580633309,0.581160733,0.581904288,0.582717765,0.582371382,0.582151647
OVTDAC_2_6,1.06,1.26,V,1.164328531,1.159870296,1.166642169,,1.165324077,1.159870296,1.164714395,1.163839865,1.162512341,1.163653788,1.164897842,1.166642169,1.166022777,1.165807766
OVTDAC_3_6,1.64,1.84,V,1.747168337,1.740435461,1.750644449,,1.748582257,1.740435461,1.747649163,1.746447721,1.744475408,1.746202684,1.747956847,1.750644449,1.749752357,1.749537025
OVTDAC_4_6,2.23,2.43,V,2.330034525,2.321044856,2.334674219,,2.331844727,2.321044856,2.330625542,2.329135243,2.326441796,2.32879278,2.331021029,2.334674219,2.333479721,2.333285343
OVTDAC_5_6,2.81,3.01,V,2.912965253,2.901701056,2.918794492,,2.915169277,2.901701056,2.913651756,2.911800818,2.90849862,2.911444182,2.914161602,2.918794492,2.917331886,2.917098841
OVTDAC MidScaleV,1.64,1.84,V,1.747292335,1.740596009,1.750762269,,1.748683403,1.740596009,1.747773342,1.746586185,1.744607747,1.746334445,1.748067981,1.750762269,1.749861634,1.749650337
OVT Comp MidScale Trip Point,1.6,1.9,V,1.76827019,1.760364342,1.771897721,,1.769611268,1.760364342,1.767363766,1.76658102,1.764921588,1.768847769,1.76988392,1.771391291,1.771839219,1.771897721
OVT Thresh Offset,10,40,mV,20.97785512,19.5904238,22.51332394,,20.92786479,19.76833215,19.5904238,19.99483517,20.31384161,22.51332394,21.81593929,20.62902197,21.97758463,22.2473839
